round_epochs,loss,binary_accuracy,val_loss,val_binary_accuracy,batch_size,epochs,lr
80,0.6544933319091797,0.6398058533668518,0.6668736338615417,0.6162790656089783,4,80,0.01
20,0.0387551486492157,0.9883494973182678,0.9937934875488281,0.8720930218696594,32,20,0.001
60,0.026367714628577232,0.99320387840271,1.5851682424545288,0.8759689927101135,32,60,0.001
40,0.657628059387207,0.6398058533668518,0.6821499466896057,0.6162790656089783,4,40,0.05
20,0.12941874563694,0.9601941704750061,0.2084762156009674,0.9224806427955627,8,20,0.001
80,0.6569289565086365,0.6398058533668518,0.6763314008712769,0.6162790656089783,4,80,0.05
