round_epochs,loss,binary_accuracy,val_loss,val_binary_accuracy,batch_size,epochs,lr
80,0.08499171584844589,0.9951456189155579,1.4907948970794678,0.9069767594337463,8,80,0.001
30,0.6580874919891357,0.6368932127952576,0.6602156758308411,0.6279069781303406,8,30,0.05
60,0.6551727056503296,0.6368932127952576,0.6604331135749817,0.6279069781303406,64,60,0.01
20,0.6562124490737915,0.6368932127952576,0.6605848670005798,0.6279069781303406,4,20,0.01
30,0.6584571599960327,0.6368932127952576,0.6673782467842102,0.6279069781303406,16,30,0.1
20,0.661480188369751,0.6368932127952576,0.6952134966850281,0.6279069781303406,4,20,0.1
30,0.6565030813217163,0.6368932127952576,0.6637067794799805,0.6279069781303406,32,30,0.05
30,0.6623725295066833,0.6368932127952576,0.6611275672912598,0.6279069781303406,4,30,0.1
20,0.08346381783485413,0.977669894695282,0.516366720199585,0.7829457521438599,32,20,0.001
60,0.09653190523386002,0.9922330379486084,4.0850019454956055,0.8643410801887512,8,60,0.001
